Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Test Accuracy,Test loss
1,1.9676379949357774,0.3149777777777778,1.6825518341064454,0.4466,0.4538,1.6730594959259033
2,1.6962964069578383,0.4481777777777778,1.4927890266418458,0.5492,0.5536,1.485117552947998
3,1.534690264087253,0.5323111111111111,1.3320381708145141,0.6274,0.623,1.3395097436904908
4,1.400092674085829,0.6005777777777778,1.2181867530822754,0.6842,0.6815,1.223277082633972
5,1.29755383037991,0.6526444444444445,1.1514398096084595,0.708,0.716,1.1582318878173827
6,1.2188656178368462,0.6928666666666666,1.0769272457122803,0.7524,0.7449,1.093729008293152
7,1.1661849165174696,0.717,1.0519733209609985,0.7642,0.7632,1.0653624341964723
8,1.1157152921040854,0.7432222222222222,1.014715937614441,0.7808,0.7803,1.024986243247986
9,1.0808061396492852,0.7591555555555556,0.9969101313591003,0.795,0.7968,1.0071950782775878
10,1.0451807818518744,0.7797555555555555,0.990256950378418,0.7928,0.7998,0.998252618598938
11,1.0195091278076172,0.7893777777777777,0.9637450269699097,0.8152,0.8083,0.9757385618209838
12,0.9909129995134142,0.8042444444444444,0.9428017297744751,0.8126,0.8164,0.9530316173553467
13,0.9665096886105008,0.8180222222222222,0.9164930727005005,0.826,0.8266,0.9325185564041137
14,0.9464654026879205,0.8265333333333333,0.9012373953819275,0.838,0.8364,0.9138332874298095
15,0.919593012216356,0.8398222222222222,0.891070770740509,0.8438,0.8401,0.9071068861961364
16,0.8972226849344042,0.8509111111111111,0.9027799677848816,0.8368,0.8381,0.9183527849197388
17,0.8778827961815728,0.8574666666666667,0.8632035780906677,0.8586,0.8519,0.8751776962280273
18,0.8580215552753873,0.8692888888888889,0.853654871749878,0.861,0.856,0.8605779637336731
19,0.8400182669745552,0.8774444444444445,0.8621090839385986,0.858,0.8512,0.8756126359939576
20,0.8228049649980334,0.8849777777777778,0.8586952682495117,0.8594,0.8567,0.8705995599746704
21,0.8060319134606255,0.8941777777777777,0.8457312001228332,0.866,0.8606,0.8584306971549988
22,0.7929941630469428,0.8991333333333333,0.8521005609512329,0.8638,0.8556,0.8631454181671142
23,0.7756997122446696,0.9089777777777778,0.8458017048835754,0.8652,0.863,0.8490085886001587
24,0.7645408140182495,0.9126888888888889,0.8398247426986695,0.8662,0.8622,0.8544491410255433
25,0.7453691263516744,0.9218222222222222,0.8289995788574219,0.8738,0.868,0.8392593774795533
26,0.7344511971049839,0.9286,0.8262786677360535,0.8766,0.869,0.8364228671073913
27,0.7197266162448459,0.9350444444444445,0.8264500891685486,0.8728,0.8691,0.833971549320221
28,0.7059261076397366,0.9416888888888889,0.8224951098442078,0.8758,0.868,0.8373612556457519
29,0.6939655975341796,0.9475555555555556,0.8327248652458191,0.8678,0.8651,0.8418804872512817
30,0.6841421296649509,0.9501333333333334,0.8131482347488403,0.8808,0.8753,0.8210039246559143
31,0.6719025384055244,0.9573555555555555,0.8026671760559082,0.8814,0.8803,0.8139268800735474
32,0.6600548515849644,0.9628444444444444,0.8058896579742432,0.8852,0.8776,0.8139005116462708
33,0.6478493556976318,0.9684444444444444,0.8020927926063538,0.883,0.8771,0.8161311110496521
34,0.639010103585985,0.9716888888888889,0.7953179697036743,0.8862,0.8803,0.8073799186706543
35,0.6278781560262044,0.9774,0.801083666419983,0.8854,0.8816,0.8064733726501465
36,0.6205134069866605,0.9804,0.7877315116882324,0.8866,0.8811,0.8020608089447021
37,0.6136730318069458,0.9830444444444445,0.7894880069732666,0.8884,0.8785,0.8017738059997559
38,0.6067126320944892,0.9847777777777778,0.7927338194847107,0.8856,0.884,0.7975154399871827
39,0.5990844040340847,0.9871777777777778,0.785273745727539,0.8882,0.8818,0.7931517031669617
40,0.5947581913948059,0.9896888888888888,0.7849929689407349,0.8908,0.8845,0.794619814491272
41,0.5898723978678385,0.9904888888888889,0.7858940773010253,0.8892,0.8847,0.792037915802002
42,0.5846355695406595,0.9927111111111111,0.7843806007385253,0.89,0.8842,0.7902551037788391
43,0.580438877275255,0.9936888888888888,0.7816934075355529,0.889,0.8864,0.7864910652160645
44,0.5777676329400804,0.9938444444444444,0.782271426486969,0.8904,0.8869,0.786269598197937
45,0.5759958131790162,0.9951111111111111,0.78092444896698,0.8908,0.8886,0.7847155856132507
46,0.5735474916352166,0.9948666666666667,0.7802997275352478,0.892,0.8881,0.7830879306793213
47,0.5718406601481968,0.9958222222222223,0.7793654692649842,0.8906,0.8882,0.7827389528274536
48,0.5709881510310703,0.9962666666666666,0.7784367599487305,0.8918,0.8888,0.7819577472686767
49,0.5714457002745734,0.9959333333333333,0.7774123170852661,0.893,0.8886,0.7811175140380859
50,0.5703010033289592,0.9963333333333333,0.7778996918678284,0.8916,0.8891,0.7823185446739197
