epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.1611,0.2305,1.9736,0.3404,0.000100
2,1.8638,0.4022,1.7534,0.4546,0.000099
3,1.6882,0.4892,1.6187,0.5136,0.000098
4,1.5740,0.5401,1.5205,0.5566,0.000095
5,1.4960,0.5700,1.4512,0.5850,0.000091
6,1.4391,0.5957,1.4163,0.6034,0.000086
7,1.4000,0.6117,1.3757,0.6154,0.000080
8,1.3678,0.6291,1.3542,0.6276,0.000073
9,1.3421,0.6366,1.3256,0.6368,0.000066
10,1.3249,0.6447,1.3145,0.6510,0.000058
11,1.3130,0.6489,1.3044,0.6488,0.000051
12,1.2966,0.6594,1.2971,0.6484,0.000043
13,1.2916,0.6589,1.2862,0.6540,0.000035
14,1.2805,0.6660,1.2703,0.6686,0.000028
15,1.2777,0.6662,1.2686,0.6622,0.000021
16,1.2739,0.6678,1.2686,0.6630,0.000015
17,1.2691,0.6718,1.2684,0.6670,0.000010
18,1.2675,0.6708,1.2665,0.6670,0.000006
19,1.2681,0.6684,1.2675,0.6658,0.000003
20,1.2672,0.6703,1.2602,0.6752,0.000002
